track,member,region,role,team_year
Undefined,,--Specify Region--,,Dundee_2007
Undefined,,--Specify Region--,,Cape_Peninsula_2007
Environment,,--Specify Region--,,Glasgow_2007
Foundational Research,,--Specify Region--,,CSHL_2007
Medical,,US,,Virginia_Tech_2007
Foundational Research,,US,,Wisconsin_2007
Foundational Research,,--Specify Region--,,Bologna_2007
Energy,,--Specify Region--,,Boston_University_2007
Information Processing,,US,,UCSF_2007
Energy,,US,,Virginia_2007
Information Processing,,US,,UCSF_2007
Information Processing,,US,,UCSF_2007
Medical,,US,,Princeton_2007
Foundational Research,,US,,Purdue_2007
Environment,,US,,Prairie_View_2007
Foundational Research,,US,,Purdue_2007
Undefined,,--Specify Region--,,UMD_2007
Environment,,--Specify Region--,,Turkey_2007
Energy,,--Specify Region--,,Missouri_Miners_2007
Environment,,--Specify Region--,,Naples_2007
Medical,,--Specify Region--,,Taipei_2007
Energy,,US,,Penn_State_2007
Medical,,--Specify Region--,,Ljubljana_2007
Energy,,US,,Mississippi_State_2007
Undefined,,US,,Minnesota_2007
Foundational Research,,US,,Michigan_2007
Foundational Research,,US,,Michigan_2007
Undefined,,US,,chicago_2007
Information Processing,,US,,Davidson_Missouri_W_2007
Foundational Research,,US,,Duke_2007
Environment,,US,,Brown_2007
Foundational Research,,US,,Caltech_2007
Medical,,US,,Berkeley_UC_2007
Foundational Research,,Europe,,Valencia_2007
Medical,,US,,Bay_Area_RSI_2007
Energy,,US,,Berkeley_LBL_2007
Information Processing,,Latin America,,Mexico_2007
Environment,,Latin America,,Colombia_Israel_2007
Medical,,Europe,,Imperial_2007
Foundational Research,,Europe,,Freiburg_2007
Foundational Research,,Europe,,Paris_2007
Foundational Research,,Europe,,Edinburgh_2007
Information Processing,,Europe,,ETHZ_2007
Information Processing,,Canada,,Waterloo_2007
Environment,,Canada,,Lethbridge_2007
Foundational Research,,Europe,,Cambridge_2007
Foundational Research,,Canada,,McGill_2007
Information Processing,,Canada,,Toronto_2007
Foundational Research,,Canada,,Calgary_2007
Energy,,Canada,,Alberta_2007
Information Processing,,Asia,,Tsinghua_2007
Information Processing,,Asia,,USTC_2007
Information Processing,,Asia,,Tianjin_2007
Foundational Research,,Asia,,Tokyo_Tech_2007
Information Processing,,Asia,,Peking_2007
Medical,,Asia,,Melbourne_2007
Undefined,,Asia,,CPU_2007
Foundational Research,,Asia,,Bangalore_2007
Foundational Research,,Asia,,Chiba_2007
